"Date","Time","Test Total Time",,
03/05/15,16:35:38,(hh:mm:ss): 9:17:10,,
,,,,
"Rated Capacity","Tested Capacity",,,
5.00 Ah,4.64 Ah,,,
,,,,
"Cells","Battery Type","Battery Weight",,
2,Li-ion,1.000 kg,,
,,,,
Internal Resistance,,,,
1.88,,,,
,,,,
"Test Current","Graph Type",,,
0.500 Amps,AmpHrs,,,
,,,,
"Test","Time","Voltage","Current","Temp (C)"
"Artoo pack 4 cell .5amp discharge",131,7.95,0.501,0.00
"Artoo pack 4 cell .5amp discharge",132,7.95,0.499,0.00
"Artoo pack 4 cell .5amp discharge",133,7.95,0.499,0.00
"Artoo pack 4 cell .5amp discharge",134,7.95,0.501,0.00
"Artoo pack 4 cell .5amp discharge",135,7.95,0.499,0.00
"Artoo pack 4 cell .5amp discharge",136,7.94,0.501,0.00
"Artoo pack 4 cell .5amp discharge",137,7.94,0.501,0.00
"Artoo pack 4 cell .5amp discharge",138,7.94,0.501,0.00
"Artoo pack 4 cell .5amp discharge",139,7.94,0.498,0.00
"Artoo pack 4 cell .5amp discharge",140,7.94,0.501,0.00
"Artoo pack 4 cell .5amp discharge",141,7.94,0.501,0.00
"Artoo pack 4 cell .5amp discharge",142,7.94,0.499,0.00
"Artoo pack 4 cell .5amp discharge",143,7.94,0.501,0.00
"Artoo pack 4 cell .5amp discharge",144,7.94,0.501,0.00
"Artoo pack 4 cell .5amp discharge",145,7.94,0.498,0.00
"Artoo pack 4 cell .5amp discharge",146,7.94,0.501,0.00
"Artoo pack 4 cell .5amp discharge",147,7.94,0.501,0.00
"Artoo pack 4 cell .5amp discharge",148,7.94,0.501,0.00
"Artoo pack 4 cell .5amp discharge",149,7.94,0.499,0.00
"Artoo pack 4 cell .5amp discharge",150,7.94,0.501,0.00
"Artoo pack 4 cell .5amp discharge",151,7.94,0.498,0.00
"Artoo pack 4 cell .5amp discharge",152,7.94,0.501,0.00
"Artoo pack 4 cell .5amp discharge",153,7.94,0.501,0.00
"Artoo pack 4 cell .5amp discharge",154,7.94,0.501,0.00
"Artoo pack 4 cell .5amp discharge",155,7.94,0.499,0.00
"Artoo pack 4 cell .5amp discharge",156,7.94,0.501,0.00
"Artoo pack 4 cell .5amp discharge",157,7.94,0.499,0.00
"Artoo pack 4 cell .5amp discharge",158,7.94,0.501,0.00
"Artoo pack 4 cell .5amp discharge",159,7.94,0.501,0.00
"Artoo pack 4 cell .5amp discharge",160,7.94,0.501,0.00
"Artoo pack 4 cell .5amp discharge",161,7.94,0.498,0.00
"Artoo pack 4 cell .5amp discharge",162,7.94,0.501,0.00
"Artoo pack 4 cell .5amp discharge",163,7.94,0.501,0.00
"Artoo pack 4 cell .5amp discharge",164,7.94,0.499,0.00
"Artoo pack 4 cell .5amp discharge",165,7.94,0.501,0.00
"Artoo pack 4 cell .5amp discharge",166,7.94,0.501,0.00
"Artoo pack 4 cell .5amp discharge",167,7.94,0.501,0.00
"Artoo pack 4 cell .5amp discharge",168,7.94,0.498,0.00
"Artoo pack 4 cell .5amp discharge",169,7.94,0.501,0.00
"Artoo pack 4 cell .5amp discharge",170,7.94,0.501,0.00
"Artoo pack 4 cell .5amp discharge",171,7.94,0.498,0.00
"Artoo pack 4 cell .5amp discharge",172,7.94,0.501,0.00
"Artoo pack 4 cell .5amp discharge",173,7.94,0.501,0.00
"Artoo pack 4 cell .5amp discharge",174,7.94,0.499,0.00
"Artoo pack 4 cell .5amp discharge",175,7.94,0.499,0.00
"Artoo pack 4 cell .5amp discharge",176,7.94,0.501,0.00
"Artoo pack 4 cell .5amp discharge",177,7.94,0.501,0.00
"Artoo pack 4 cell .5amp discharge",178,7.94,0.499,0.00
"Artoo pack 4 cell .5amp discharge",179,7.94,0.501,0.00
"Artoo pack 4 cell .5amp discharge",180,7.94,0.501,0.00
"Artoo pack 4 cell .5amp discharge",181,7.94,0.498,0.00
"Artoo pack 4 cell .5amp discharge",182,7.94,0.501,0.00
