Test,Time,Voltage,Current,Temp (C)
2S1P 122mA discharge,225,8.1,0.122,0
2S1P 122mA discharge,226,8.1,0.122,0
2S1P 122mA discharge,227,8.1,0.122,0
2S1P 122mA discharge,228,8.1,0.12,0
2S1P 122mA discharge,229,8.1,0.12,0
2S1P 122mA discharge,230,8.1,0.122,0
2S1P 122mA discharge,231,8.1,0.122,0
2S1P 122mA discharge,232,8.1,0.122,0
2S1P 122mA discharge,233,8.1,0.124,0
2S1P 122mA discharge,234,8.1,0.122,0
2S1P 122mA discharge,235,8.1,0.122,0
2S1P 122mA discharge,236,8.1,0.122,0
2S1P 122mA discharge,237,8.1,0.124,0
2S1P 122mA discharge,238,8.1,0.122,0
2S1P 122mA discharge,239,8.1,0.12,0
2S1P 122mA discharge,240,8.1,0.122,0
2S1P 122mA discharge,241,8.1,0.122,0
2S1P 122mA discharge,242,8.1,0.122,0
2S1P 122mA discharge,243,8.1,0.124,0
2S1P 122mA discharge,244,8.1,0.12,0
2S1P 122mA discharge,245,8.1,0.122,0
2S1P 122mA discharge,246,8.1,0.122,0
2S1P 122mA discharge,247,8.1,0.122,0
2S1P 122mA discharge,248,8.1,0.124,0
2S1P 122mA discharge,249,8.1,0.122,0
2S1P 122mA discharge,250,8.1,0.122,0
2S1P 122mA discharge,251,8.1,0.122,0
2S1P 122mA discharge,252,8.1,0.124,0
2S1P 122mA discharge,253,8.1,0.122,0
2S1P 122mA discharge,254,8.1,0.12,0
2S1P 122mA discharge,255,8.1,0.122,0
2S1P 122mA discharge,256,8.1,0.122,0
2S1P 122mA discharge,257,8.1,0.122,0
2S1P 122mA discharge,258,8.1,0.122,0
2S1P 122mA discharge,259,8.1,0.12,0
2S1P 122mA discharge,260,8.1,0.122,0
2S1P 122mA discharge,261,8.1,0.122,0
2S1P 122mA discharge,262,8.1,0.122,0
2S1P 122mA discharge,263,8.1,0.124,0
2S1P 122mA discharge,264,8.09,0.122,0
2S1P 122mA discharge,265,8.09,0.122,0
2S1P 122mA discharge,266,8.1,0.122,0
2S1P 122mA discharge,267,8.1,0.124,0
2S1P 122mA discharge,268,8.1,0.122,0
2S1P 122mA discharge,269,8.09,0.12,0
2S1P 122mA discharge,270,8.1,0.122,0
2S1P 122mA discharge,271,8.09,0.122,0
2S1P 122mA discharge,272,8.09,0.122,0
2S1P 122mA discharge,273,8.1,0.122,0
2S1P 122mA discharge,274,8.09,0.12,0
2S1P 122mA discharge,275,8.09,0.122,0
2S1P 122mA discharge,276,8.1,0.122,0
2S1P 122mA discharge,277,8.1,0.122,0
2S1P 122mA discharge,278,8.09,0.124,0
2S1P 122mA discharge,279,8.09,0.12,0
2S1P 122mA discharge,280,8.09,0.122,0
2S1P 122mA discharge,281,8.09,0.124,0
2S1P 122mA discharge,282,8.09,0.124,0
