"Date","Time","Test Total Time",,
02/18/15,15:25:16,(hh:mm:ss): 5:01:56,,
,,,,
"Rated Capacity","Tested Capacity",,,
1.00 Ah,2.52 Ah,,,
,,,,
"Cells","Battery Type","Battery Weight",,
2,Li-ion,1.000 kg,,
,,,,
Internal Resistance,,,,
1.92,,,,
,,,,
"Test Current","Graph Type",,,
0.500 Amps,AmpHrs,,,
,,,,
"Test","Time","Voltage","Current","Temp (C)"
"Artoo pack 2 cell .5amp discharge",113,8.02,0.499,21.22
"Artoo pack 2 cell .5amp discharge",114,8.02,0.501,21.23
"Artoo pack 2 cell .5amp discharge",115,8.02,0.501,21.22
"Artoo pack 2 cell .5amp discharge",116,8.02,0.499,21.23
"Artoo pack 2 cell .5amp discharge",117,8.02,0.499,21.23
"Artoo pack 2 cell .5amp discharge",118,8.02,0.501,21.23
"Artoo pack 2 cell .5amp discharge",119,8.02,0.499,21.23
"Artoo pack 2 cell .5amp discharge",120,8.02,0.501,21.23
"Artoo pack 2 cell .5amp discharge",121,8.02,0.501,21.23
"Artoo pack 2 cell .5amp discharge",122,8.02,0.499,21.23
"Artoo pack 2 cell .5amp discharge",123,8.02,0.499,21.23
"Artoo pack 2 cell .5amp discharge",124,8.02,0.501,21.23
"Artoo pack 2 cell .5amp discharge",125,8.02,0.499,21.23
"Artoo pack 2 cell .5amp discharge",126,8.02,0.499,21.23
"Artoo pack 2 cell .5amp discharge",127,8.02,0.501,21.23
"Artoo pack 2 cell .5amp discharge",128,8.02,0.499,21.23
"Artoo pack 2 cell .5amp discharge",129,8.02,0.499,21.22
"Artoo pack 2 cell .5amp discharge",130,8.02,0.501,21.22
"Artoo pack 2 cell .5amp discharge",131,8.02,0.501,21.23
"Artoo pack 2 cell .5amp discharge",132,8.01,0.501,21.23
"Artoo pack 2 cell .5amp discharge",133,8.02,0.501,21.23
"Artoo pack 2 cell .5amp discharge",134,8.02,0.501,21.23
"Artoo pack 2 cell .5amp discharge",135,8.02,0.501,21.23
"Artoo pack 2 cell .5amp discharge",136,8.01,0.499,21.23
"Artoo pack 2 cell .5amp discharge",137,8.01,0.501,21.23
"Artoo pack 2 cell .5amp discharge",138,8.01,0.501,21.23
"Artoo pack 2 cell .5amp discharge",139,8.02,0.499,21.23
"Artoo pack 2 cell .5amp discharge",140,8.01,0.501,21.23
"Artoo pack 2 cell .5amp discharge",141,8.02,0.501,21.22
"Artoo pack 2 cell .5amp discharge",142,8.01,0.499,21.23
"Artoo pack 2 cell .5amp discharge",143,8.01,0.501,21.23
"Artoo pack 2 cell .5amp discharge",144,8.01,0.501,21.23
"Artoo pack 2 cell .5amp discharge",145,8.01,0.499,21.22
"Artoo pack 2 cell .5amp discharge",146,8.01,0.499,21.23
"Artoo pack 2 cell .5amp discharge",147,8.01,0.501,21.23
"Artoo pack 2 cell .5amp discharge",148,8.01,0.498,21.22
"Artoo pack 2 cell .5amp discharge",149,8.01,0.501,21.22
"Artoo pack 2 cell .5amp discharge",150,8.01,0.501,21.23
"Artoo pack 2 cell .5amp discharge",151,8.01,0.501,21.23
"Artoo pack 2 cell .5amp discharge",152,8.01,0.499,21.23
"Artoo pack 2 cell .5amp discharge",153,8.01,0.499,21.24
"Artoo pack 2 cell .5amp discharge",154,8.01,0.501,21.24
"Artoo pack 2 cell .5amp discharge",155,8.01,0.498,21.24
"Artoo pack 2 cell .5amp discharge",156,8.01,0.501,21.24
"Artoo pack 2 cell .5amp discharge",157,8.01,0.501,21.23
"Artoo pack 2 cell .5amp discharge",158,8.01,0.499,21.24
"Artoo pack 2 cell .5amp discharge",159,8.01,0.499,21.24
"Artoo pack 2 cell .5amp discharge",160,8.01,0.501,21.24
"Artoo pack 2 cell .5amp discharge",161,8.01,0.501,21.24
"Artoo pack 2 cell .5amp discharge",162,8.01,0.499,21.24
"Artoo pack 2 cell .5amp discharge",163,8.01,0.501,21.24
"Artoo pack 2 cell .5amp discharge",164,8.01,0.501,21.24
"Artoo pack 2 cell .5amp discharge",165,8.01,0.501,21.24
"Artoo pack 2 cell .5amp discharge",166,8.01,0.498,21.24
"Artoo pack 2 cell .5amp discharge",167,8.01,0.501,21.24
"Artoo pack 2 cell .5amp discharge",168,8.01,0.501,21.25
"Artoo pack 2 cell .5amp discharge",169,8.01,0.499,21.25
"Artoo pack 2 cell .5amp discharge",170,8.01,0.501,21.25
"Artoo pack 2 cell .5amp discharge",171,8.01,0.501,21.25
"Artoo pack 2 cell .5amp discharge",172,8.01,0.499,21.25
"Artoo pack 2 cell .5amp discharge",173,8.01,0.499,21.25
"Artoo pack 2 cell .5amp discharge",174,8.01,0.501,21.25
"Artoo pack 2 cell .5amp discharge",175,8.01,0.499,21.25
"Artoo pack 2 cell .5amp discharge",176,8.01,0.501,21.25
"Artoo pack 2 cell .5amp discharge",177,8.01,0.501,21.25
"Artoo pack 2 cell .5amp discharge",178,8.01,0.499,21.25
"Artoo pack 2 cell .5amp discharge",179,8.01,0.499,21.26
"Artoo pack 2 cell .5amp discharge",180,8.01,0.501,21.26
"Artoo pack 2 cell .5amp discharge",181,8.01,0.501,21.26
"Artoo pack 2 cell .5amp discharge",182,8.01,0.499,21.26
"Artoo pack 2 cell .5amp discharge",183,8.01,0.501,21.26
"Artoo pack 2 cell .5amp discharge",184,8.01,0.501,21.26
"Artoo pack 2 cell .5amp discharge",185,8.01,0.498,21.26
"Artoo pack 2 cell .5amp discharge",186,8.01,0.501,21.26
"Artoo pack 2 cell .5amp discharge",187,8.01,0.501,21.26
"Artoo pack 2 cell .5amp discharge",188,8.01,0.501,21.26
"Artoo pack 2 cell .5amp discharge",189,8.01,0.499,21.26
"Artoo pack 2 cell .5amp discharge",190,8.01,0.501,21.27
"Artoo pack 2 cell .5amp discharge",191,8.01,0.501,21.27
"Artoo pack 2 cell .5amp discharge",192,8.01,0.501,21.27
"Artoo pack 2 cell .5amp discharge",193,8.01,0.499,21.27
"Artoo pack 2 cell .5amp discharge",194,8.01,0.501,21.27
"Artoo pack 2 cell .5amp discharge",195,8.01,0.501,21.27
"Artoo pack 2 cell .5amp discharge",196,8.01,0.499,21.27
"Artoo pack 2 cell .5amp discharge",197,8.01,0.501,21.27
"Artoo pack 2 cell .5amp discharge",198,8.01,0.501,21.27
"Artoo pack 2 cell .5amp discharge",199,8.01,0.499,21.27
"Artoo pack 2 cell .5amp discharge",200,8.01,0.499,21.27
"Artoo pack 2 cell .5amp discharge",201,8.00,0.501,21.28
"Artoo pack 2 cell .5amp discharge",202,8.00,0.501,21.28
"Artoo pack 2 cell .5amp discharge",203,8.00,0.501,21.27
"Artoo pack 2 cell .5amp discharge",204,8.01,0.501,21.27
"Artoo pack 2 cell .5amp discharge",205,8.00,0.501,21.27
"Artoo pack 2 cell .5amp discharge",206,8.00,0.501,21.27
"Artoo pack 2 cell .5amp discharge",207,8.00,0.499,21.27
"Artoo pack 2 cell .5amp discharge",208,8.00,0.499,21.28
"Artoo pack 2 cell .5amp discharge",209,8.00,0.501,21.27
"Artoo pack 2 cell .5amp discharge",210,8.00,0.501,21.27
"Artoo pack 2 cell .5amp discharge",211,8.00,0.501,21.27
"Artoo pack 2 cell .5amp discharge",212,8.00,0.501,21.27
"Artoo pack 2 cell .5amp discharge",213,8.00,0.499,21.27
"Artoo pack 2 cell .5amp discharge",214,8.00,0.501,21.28
"Artoo pack 2 cell .5amp discharge",215,8.00,0.501,21.27
"Artoo pack 2 cell .5amp discharge",216,8.00,0.501,21.27
"Artoo pack 2 cell .5amp discharge",217,8.00,0.498,21.27
"Artoo pack 2 cell .5amp discharge",218,8.00,0.501,21.27
